Period,Value
Feb-1993,50
Mar-1993,60
Apr-1993,66
May-1993,58
Jun-1993,59
Jul-1993,55
Aug-1993,57
Sep-1993,57
Oct-1993,56
Nov-1993,53
Dec-1993,51
Jan-1994,46
Feb-1994,58
Mar-1994,74
Apr-1994,65
May-1994,65
Jun-1994,55
Jul-1994,52
Aug-1994,59
Sep-1994,54
Oct-1994,57
Nov-1994,45
Dec-1994,40
Jan-1995,47
Feb-1995,47
Mar-1995,60
Apr-1995,58
May-1995,63
Jun-1995,64
Jul-1995,64
Aug-1995,63
Sep-1995,54
Oct-1995,54
Nov-1995,46
Dec-1995,45
Jan-1996,54
Feb-1996,68
Mar-1996,70
Apr-1996,70
May-1996,69
Jun-1996,65
Jul-1996,66
Aug-1996,73
Sep-1996,62
Oct-1996,56
Nov-1996,54
Dec-1996,51
Jan-1997,61
Feb-1997,69
Mar-1997,81
Apr-1997,70
May-1997,71
Jun-1997,71
Jul-1997,69
Aug-1997,72
Sep-1997,67
Oct-1997,62
Nov-1997,61
Dec-1997,51
Jan-1998,64
Feb-1998,75
Mar-1998,81
Apr-1998,82
May-1998,82
Jun-1998,83
Jul-1998,75
Aug-1998,75
Sep-1998,68
Oct-1998,69
Nov-1998,70
Dec-1998,61
Jan-1999,67
Feb-1999,76
Mar-1999,84
Apr-1999,86
May-1999,80
Jun-1999,82
Jul-1999,78
Aug-1999,78
Sep-1999,65
Oct-1999,67
Nov-1999,61
Dec-1999,57
Jan-2000,67
Feb-2000,78
Mar-2000,88
Apr-2000,78
May-2000,77
Jun-2000,71
Jul-2000,76
Aug-2000,73
Sep-2000,70
Oct-2000,71
Nov-2000,63
Dec-2000,65
Jan-2001,72
Feb-2001,85
Mar-2001,94
Apr-2001,84
May-2001,80
Jun-2001,79
Jul-2001,76
Aug-2001,74
Sep-2001,66
Oct-2001,66
Nov-2001,67
Dec-2001,66
Jan-2002,66
Feb-2002,84
Mar-2002,90
Apr-2002,86
May-2002,88
Jun-2002,84
Jul-2002,82
Aug-2002,90
Sep-2002,82
Oct-2002,77
Nov-2002,73
Dec-2002,70
Jan-2003,76
Feb-2003,82
Mar-2003,98
Apr-2003,91
May-2003,101
Jun-2003,107
Jul-2003,99
Aug-2003,105
Sep-2003,90
Oct-2003,88
Nov-2003,76
Dec-2003,75
Jan-2004,89
Feb-2004,102
Mar-2004,123
Apr-2004,109
May-2004,115
Jun-2004,105
Jul-2004,96
Aug-2004,102
Sep-2004,94
Oct-2004,101
Nov-2004,84
Dec-2004,83
Jan-2005,92
Feb-2005,109
Mar-2005,127
Apr-2005,116
May-2005,120
Jun-2005,115
Jul-2005,117
Aug-2005,110
Sep-2005,99
Oct-2005,105
Nov-2005,86
Dec-2005,87
Jan-2006,89
Feb-2006,88
Mar-2006,108
Apr-2006,100
May-2006,102
Jun-2006,98
Jul-2006,83
Aug-2006,88
Sep-2006,80
Oct-2006,74
Nov-2006,71
Dec-2006,71
Jan-2007,66
Feb-2007,68
Mar-2007,80
Apr-2007,83
May-2007,79
Jun-2007,73
Jul-2007,68
Aug-2007,60
Sep-2007,53
Oct-2007,57
Nov-2007,45
Dec-2007,44
Jan-2008,44
Feb-2008,48
Mar-2008,49
Apr-2008,49
May-2008,49
Jun-2008,45
Jul-2008,43
Aug-2008,38
Sep-2008,35
Oct-2008,32
Nov-2008,27
Dec-2008,26
Jan-2009,24
Feb-2009,29
Mar-2009,31
Apr-2009,32
May-2009,34
Jun-2009,37
Jul-2009,38
Aug-2009,36
Sep-2009,30
Oct-2009,33
Nov-2009,26
Dec-2009,24
Jan-2010,24
Feb-2010,27
Mar-2010,36
Apr-2010,41
May-2010,26
Jun-2010,28
Jul-2010,26
Aug-2010,23
Sep-2010,25
Oct-2010,23
Nov-2010,20
Dec-2010,23
Jan-2011,21
Feb-2011,22
Mar-2011,28
Apr-2011,30
May-2011,28
Jun-2011,28
Jul-2011,27
Aug-2011,25
Sep-2011,24
Oct-2011,25
Nov-2011,23
Dec-2011,24
Jan-2012,23
Feb-2012,30
Mar-2012,34
Apr-2012,34
May-2012,35
Jun-2012,34
Jul-2012,33
Aug-2012,31
Sep-2012,30
Oct-2012,29
Nov-2012,28
Dec-2012,28
Jan-2013,32
Feb-2013,36
Mar-2013,41
Apr-2013,43
May-2013,40
Jun-2013,43
Jul-2013,33
Aug-2013,31
Sep-2013,31
Oct-2013,36
Nov-2013,32
Dec-2013,31
Jan-2014,33
Feb-2014,35
Mar-2014,39
Apr-2014,39
May-2014,43
Jun-2014,38
Jul-2014,35
Aug-2014,36
Sep-2014,37
Oct-2014,38
Nov-2014,31
Dec-2014,35
Jan-2015,39
Feb-2015,45
Mar-2015,46
Apr-2015,48
May-2015,47
Jun-2015,44
Jul-2015,43
Aug-2015,41
Sep-2015,35
Oct-2015,39
Nov-2015,36
Dec-2015,38
Jan-2016,39
Feb-2016,45
Mar-2016,50
Apr-2016,55
May-2016,53
Jun-2016,50
Jul-2016,54
Aug-2016,46
Sep-2016,44
Oct-2016,46
Nov-2016,40
Dec-2016,39
Jan-2017,45
Feb-2017,51
Mar-2017,61
Apr-2017,56
May-2017,57
Jun-2017,56
Jul-2017,48
Aug-2017,45
Sep-2017,50
Oct-2017,49
Nov-2017,50
Dec-2017,45
Jan-2018,48
Feb-2018,54
Mar-2018,66
Apr-2018,61
May-2018,62
Jun-2018,56
Jul-2018,52
Aug-2018,47
Sep-2018,46
Oct-2018,43
Nov-2018,44
Dec-2018,38
Jan-2019,49
Feb-2019,57
Mar-2019,68
Apr-2019,64
May-2019,56
Jun-2019,66
Jul-2019,55
Aug-2019,57
Sep-2019,56
Oct-2019,55
Nov-2019,50
Dec-2019,49
Jan-2020,59
Feb-2020,63
Mar-2020,59
Apr-2020,52
May-2020,64
Jun-2020,79
Jul-2020,85
Aug-2020,81
Sep-2020,77
Oct-2020,78
Nov-2020,61
Dec-2020,63
Jan-2021,77
Feb-2021,70
Mar-2021,83
Apr-2021,74
May-2021,65
Jun-2021,61
Jul-2021,62
Aug-2021,55
Sep-2021,58
Oct-2021,51
Nov-2021,54
Dec-2021,61
Jan-2022,70
Feb-2022,71
Mar-2022,68
Apr-2022,56
May-2022,58
Jun-2022,48
Jul-2022,44
Aug-2022,51
Sep-2022,44
Oct-2022,43
Nov-2022,41
Dec-2022,47
Jan-2023,55
Feb-2023,56
Mar-2023,62
Apr-2023,59
May-2023,67
Jun-2023,60
Jul-2023,NA
Aug-2023,NA
Sep-2023,NA
Oct-2023,NA
Nov-2023,NA
Dec-2023,NA
