date,wind,solar
6-Mar,2358.63174,
6-Feb,1921.95844,
6-Jan,2382.63335,
5-Dec,1827.81389,
5-Nov,1609.69148,
5-Oct,1446.18982,
5-Sep,1468.34696,
5-Aug,1138.03152,
5-Jul,1420.94183,
5-Jun,1796.92435,
5-May,1746.42955,
5-Apr,1697.5037,
5-Mar,1560.62565,
5-Feb,966.48178,
5-Jan,1131.5685,
4-Dec,1172.00867,
4-Nov,932.203,
4-Oct,1028.87272,
4-Sep,1089.61523,
4-Aug,1050.71885,
4-Jul,1164.37009,
4-Jun,1397.20574,
4-May,1701.65148,
4-Apr,1294.8568,
4-Mar,1291.224,
4-Feb,1021.56897,
4-Jan,999.44521,
3-Dec,1104.881,
3-Nov,961.432,
3-Oct,897.161,
3-Sep,895.054,
3-Aug,815.429,
3-Jul,953.396,
3-Jun,1047.144,
3-May,1006.383,
3-Apr,1092.766,
3-Mar,1036.104,
3-Feb,745.375,
3-Jan,632.34,
2-Dec,755.194,
2-Nov,655.946,
2-Oct,734.355,
2-Sep,735.828,
2-Aug,976.691,
2-Jul,890.455,
2-Jun,1126.315,
2-May,1077.641,
2-Apr,1024.417,
2-Mar,852.102,
2-Feb,713.932,
2-Jan,811.402,
1-Dec,615.657,
1-Nov,470.448,
1-Oct,606.829,
1-Sep,490.229,
1-Aug,577.206,
1-Jul,634.992,
1-Jun,669.634,
1-May,635.029,
1-Apr,684.695,
1-Mar,532.12,
1-Feb,431.242,
1-Jan,389.25,
